player_id,player_name,runs_scored,wickets,runs_conceded,catches,stumpings,match_date,match_id,Opposition,Venue,City
1,Rohit Sharma,DNB,-,-,1,0,23-Jun-07,1,Ireland,Belfast,United Kingdom
1,Rohit Sharma,8,0,3,1,0,26-Jun-07,2,Sount_Africa,Belfast,United Kingdom
1,Rohit Sharma,1,-,-,0,0,05-Oct-07,3,Australia,Hyderabad,India
1,Rohit Sharma,52,-,-,1,0,18-Nov-07,4,Pakistan,Jaipur,India
1,Rohit Sharma,29,-,-,0,0,03-Feb-08,5,Australia,Brisbane,Australia
1,Rohit Sharma,0,-,-,-,-,05-Feb-08,6,Sri_Lanka,Brisbane,Australia
1,Rohit Sharma,39*,-,-,1,0,10-Feb-08,7,Australia,Melbourne,Australia
1,Rohit Sharma,70*,-,-,0,0,12-Feb-08,8,Sri_Lanka,Canberra,Australia
1,Rohit Sharma,1,-,-,1,0,17-Feb-08,9,Australia,Adelaide,Australia
1,Rohit Sharma,24,-,-,0,0,19-Feb-08,10,Sri_Lanka,Adelaide,Australia
1,Rohit Sharma,1,-,-,1,0,24-Feb-08,11,Australia,Sydney,Australia
1,Rohit Sharma,3*,-,-,1,0,26-Feb-08,12,Sri_Lanka,Hobart,Australia
1,Rohit Sharma,66,0,5,1,0,02-Mar-08,13,Australia,Sydney,Australia
1,Rohit Sharma,2,-,-,0,0,04-Mar-08,14,Australia,Brisbane,Australia
1,Rohit Sharma,9,-,-,1,0,10-Jun-08,15,Pakistan,Mirpur,Bangladesh
1,Rohit Sharma,26,-,-,0,0,12-Jun-08,16,Bangladesh,Mirpur,Bangladesh
1,Rohit Sharma,24,-,-,1,0,14-Jun-08,17,Pakistan,Mirpur,Bangladesh
1,Rohit Sharma,11,-,-,0,0,25-Jun-08,18,Hong_Kong,Karachi,Pakistan
1,Rohit Sharma,0*,-,-,0,0,26-Jun-08,19,Pakistan,Karachi,Pakistan
1,Rohit Sharma,22,-,-,0,0,28-Jun-08,20,Bangladesh,Karachi,Pakistan
1,Rohit Sharma,58,-,-,0,0,02-Jul-08,21,Pakistan,Karachi,Pakistan
1,Rohit Sharma,22*,0,4,0,0,03-Jul-08,22,Sri_Lanka,Karachi,Pakistan
1,Rohit Sharma,3,0,11,1,0,06-Jul-08,23,Sri_Lanka,Karachi,Pakistan
1,Rohit Sharma,19,0,11,0,0,18-Aug-08,24,Sri_Lanka,Dambulla,Sri Lanka
4,Virat Kohli,12,-,-,0,0,18-Aug-08,24,Sri_Lanka,Dambulla,Sri Lanka
1,Rohit Sharma,0,-,-,0,0,20-Aug-08,25,Sri_Lanka,Dambulla,Sri Lanka
4,Virat Kohli,37,-,-,3,0,20-Aug-08,25,Sri_Lanka,Dambulla,Sri Lanka
1,Rohit Sharma,32,0,9,0,0,24-Aug-08,26,Sri_Lanka,Colombo (RPS),Sri Lanka
4,Virat Kohli,25,-,-,0,0,24-Aug-08,26,Sri_Lanka,Colombo (RPS),Sri Lanka
1,Rohit Sharma,18,0,13,0,0,27-Aug-08,27,Sri_Lanka,Colombo (RPS),Sri Lanka
